country,currency,currency_name,period_avg,period_min,period_max,count_points,actual_start,actual_end
China,CNY,중국 위안,6.8553,6.749,6.971,184,2026_01_01,2026_09_15
Egypt,EGP,이집트 파운드,51.3599,50.69,51.8583,184,2026_01_01,2026_09_15
Indonesia,IDR,인도네시아 루피아,17388.6848,16766.0,17904.0,184,2026_01_01,2026_09_15
Korea,KRW,대한민국 원,1360.7716,1340.8,1380.6,183,2026_01_01,2026_09_15
Poland,PLN,폴란드 즐로티,3.6714,3.5045,3.8076,179,2026_01_02,2026_09_15
Vietnam,VND,베트남 동,25251.7609,25072.0,25619.0,184,2026_01_01,2026_09_15
